transaction_id,date,time,payment_app,transaction_type,category,amount_inr,sender_bank,receiver_bank,device_type,network_type,city,status,failure_reason,retry_attempted,response_time_ms
UPI2025000051,2025-03-26,13:16:49,PhonePe,P2M,Rent,1821.16,IndusInd Bank,IndusInd Bank,Android,WiFi,Ahmedabad,FAILED,Insufficient Balance,Yes,5530
UPI2025000052,2025-09-21,20:24:25,WhatsApp Pay,P2M,Utility Bill,3424.84,Axis Bank,HDFC Bank,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,5267
UPI2025000053,2025-08-22,19:50:36,Paytm,P2P,Peer Transfer,446.1,Bank of Baroda,Union Bank of India,Android,5G,Kolkata,FAILED,Bank Server Down,Yes,3529
UPI2025000054,2025-06-18,22:40:57,BHIM,P2P,Peer Transfer,238.14,IDBI Bank,ICICI Bank,Android,WiFi,Hyderabad,SUCCESS,N/A,N/A,1873
UPI2025000055,2025-12-24,15:30:29,PhonePe,P2P,Peer Transfer,24.95,IDBI Bank,IndusInd Bank,iOS,WiFi,Mumbai,SUCCESS,N/A,N/A,1857
UPI2025000056,2025-06-25,10:29:36,PhonePe,P2P,Peer Transfer,387.3,Kotak Mahindra Bank,Bank of Baroda,iOS,4G,Jalandhar,SUCCESS,N/A,N/A,830
UPI2025000057,2025-04-11,12:56:38,Paytm,P2P,Peer Transfer,2891.1,Punjab National Bank,Union Bank of India,iOS,4G,Patiala,SUCCESS,N/A,N/A,200
UPI2025000058,2025-10-22,10:30:41,Paytm,P2P,Peer Transfer,399.64,Canara Bank,SBI,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,1967
UPI2025000059,2025-05-24,14:33:22,PhonePe,P2P,Peer Transfer,4831.92,IDBI Bank,Union Bank of India,Android,4G,Hyderabad,SUCCESS,N/A,N/A,719
UPI2025000060,2025-10-08,09:07:47,PhonePe,P2P,Peer Transfer,1626.09,IDBI Bank,ICICI Bank,Android,4G,Gurugram,SUCCESS,N/A,N/A,1498
UPI2025000061,2025-02-09,19:18:14,PhonePe,P2M,Recharge/Bill Payment,1759.7,Punjab National Bank,SBI,Android,3G,Bhopal,SUCCESS,N/A,N/A,3709
UPI2025000062,2025-02-19,16:48:31,Google Pay,P2P,Peer Transfer,1614.79,SBI,IndusInd Bank,Android,4G,Delhi,SUCCESS,N/A,N/A,2729
UPI2025000063,2025-12-01,14:52:04,PhonePe,P2M,Grocery,17.05,HDFC Bank,IndusInd Bank,Android,WiFi,Ahmedabad,FAILED,Incorrect UPI PIN,No,5387
UPI2025000064,2025-06-11,16:50:39,Google Pay,P2P,Peer Transfer,242.35,Union Bank of India,Kotak Mahindra Bank,Android,WiFi,Patiala,SUCCESS,N/A,N/A,2497
UPI2025000065,2025-08-30,05:47:06,WhatsApp Pay,P2P,Peer Transfer,2452.33,Axis Bank,Yes Bank,Android,4G,Amritsar,SUCCESS,N/A,N/A,1403
UPI2025000066,2025-03-02,00:28:44,PhonePe,P2P,Peer Transfer,3316.37,Punjab National Bank,SBI,Android,5G,Chennai,FAILED,Incorrect UPI PIN,Yes,4761
UPI2025000067,2025-11-04,16:42:51,WhatsApp Pay,P2P,Peer Transfer,1233.2,Kotak Mahindra Bank,HDFC Bank,Android,WiFi,Chandigarh,FAILED,Insufficient Balance,Yes,4639
UPI2025000068,2025-10-18,19:58:18,PhonePe,P2P,Peer Transfer,3089.63,Canara Bank,IDBI Bank,Android,4G,Bhopal,SUCCESS,N/A,N/A,1453
UPI2025000069,2025-02-01,16:56:27,Paytm,P2P,Peer Transfer,234.54,IndusInd Bank,Punjab National Bank,Android,5G,Ludhiana,SUCCESS,N/A,N/A,2052
UPI2025000070,2025-09-19,19:36:02,Paytm,P2P,Peer Transfer,44.88,ICICI Bank,Canara Bank,Android,4G,Patiala,SUCCESS,N/A,N/A,1239
UPI2025000071,2025-07-10,22:30:22,PhonePe,P2P,Peer Transfer,1768.35,Bank of Baroda,Yes Bank,Android,4G,Noida,SUCCESS,N/A,N/A,2609
UPI2025000072,2025-06-05,19:35:02,PhonePe,P2P,Peer Transfer,370.18,Bank of Baroda,Punjab National Bank,iOS,4G,Gurugram,SUCCESS,N/A,N/A,2076
UPI2025000073,2025-01-01,17:34:29,PhonePe,P2P,Peer Transfer,377.8,Axis Bank,Union Bank of India,Android,5G,Delhi,FAILED,Transaction Timeout,No,7055
UPI2025000074,2025-06-20,20:31:07,Google Pay,P2M,Rent,176.99,Yes Bank,IndusInd Bank,Android,5G,Bhopal,SUCCESS,N/A,N/A,1267
UPI2025000075,2025-03-29,23:58:07,PhonePe,P2M,Entertainment,9640.57,HDFC Bank,Yes Bank,iOS,4G,Hyderabad,SUCCESS,N/A,N/A,2974
UPI2025000076,2025-07-07,22:15:29,PhonePe,P2M,Education Fee,166.82,Kotak Mahindra Bank,Axis Bank,Android,4G,Mumbai,SUCCESS,N/A,N/A,1818
UPI2025000077,2025-11-03,19:21:59,Paytm,P2P,Peer Transfer,19369.11,Punjab National Bank,SBI,Android,5G,Noida,SUCCESS,N/A,N/A,1887
UPI2025000078,2025-06-23,15:22:21,PhonePe,P2P,Peer Transfer,319.6,Union Bank of India,Kotak Mahindra Bank,Android,4G,Pune,SUCCESS,N/A,N/A,2335
UPI2025000079,2025-04-01,19:26:02,Google Pay,P2M,Travel,3885.69,Canara Bank,IDBI Bank,Android,5G,Chandigarh,SUCCESS,N/A,N/A,1788
UPI2025000080,2025-01-15,08:37:21,BHIM,P2P,Peer Transfer,2972.88,Canara Bank,HDFC Bank,Android,5G,Patiala,SUCCESS,N/A,N/A,992
UPI2025000081,2025-03-01,06:50:16,PhonePe,P2M,Medical/Pharmacy,1026.8,IDBI Bank,Kotak Mahindra Bank,iOS,WiFi,Jaipur,SUCCESS,N/A,N/A,1060
UPI2025000082,2025-09-01,18:48:31,Amazon Pay,P2P,Peer Transfer,3654.36,SBI,IndusInd Bank,Android,WiFi,Pune,SUCCESS,N/A,N/A,2019
UPI2025000083,2025-06-18,22:48:40,Paytm,P2P,Peer Transfer,8817.7,HDFC Bank,Canara Bank,Android,4G,Kolkata,SUCCESS,N/A,N/A,496
UPI2025000084,2025-04-24,12:27:09,Google Pay,P2M,Recharge/Bill Payment,4762.62,Kotak Mahindra Bank,IndusInd Bank,Android,4G,Jaipur,SUCCESS,N/A,N/A,533
UPI2025000085,2025-04-04,14:37:09,Google Pay,P2P,Peer Transfer,194.37,Yes Bank,Punjab National Bank,Android,WiFi,Chennai,SUCCESS,N/A,N/A,2571
UPI2025000086,2025-09-21,15:04:28,WhatsApp Pay,P2M,Travel,64.49,IndusInd Bank,Punjab National Bank,Android,5G,Ahmedabad,FAILED,Bank Server Down,Yes,4180
UPI2025000087,2025-04-03,12:22:36,Google Pay,P2P,Peer Transfer,1034.68,IDBI Bank,Punjab National Bank,iOS,4G,Ludhiana,SUCCESS,N/A,N/A,2267
UPI2025000088,2025-09-24,18:03:58,PhonePe,P2M,E-commerce,2186.92,Canara Bank,Punjab National Bank,Android,4G,Jalandhar,SUCCESS,N/A,N/A,3179
UPI2025000089,2025-09-21,18:49:42,Paytm,P2P,Peer Transfer,5546.95,ICICI Bank,Yes Bank,Android,4G,Chennai,FAILED,Bank Server Down,Yes,4948
UPI2025000090,2025-12-20,11:47:26,Google Pay,P2M,Medical/Pharmacy,46.16,ICICI Bank,Union Bank of India,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,1811
UPI2025000091,2025-11-17,21:51:18,Paytm,P2P,Peer Transfer,3630.87,Bank of Baroda,HDFC Bank,Android,WiFi,Pune,SUCCESS,N/A,N/A,2585
UPI2025000092,2025-10-09,17:25:54,BHIM,P2M,Grocery,1764.33,Bank of Baroda,HDFC Bank,Android,4G,Lucknow,SUCCESS,N/A,N/A,1965
UPI2025000093,2025-09-19,10:24:52,Paytm,P2M,Entertainment,233.27,Bank of Baroda,HDFC Bank,Android,WiFi,Bhopal,SUCCESS,N/A,N/A,200
UPI2025000094,2025-08-25,09:04:40,BHIM,P2M,Food Delivery,48847.77,IDBI Bank,Punjab National Bank,Android,WiFi,Ahmedabad,SUCCESS,N/A,N/A,1326
UPI2025000095,2025-02-15,07:56:34,Google Pay,P2M,Rent,2912.43,Canara Bank,Bank of Baroda,Android,5G,Chandigarh,SUCCESS,N/A,N/A,991
UPI2025000096,2025-09-12,07:31:39,PhonePe,P2M,E-commerce,4201.42,Punjab National Bank,SBI,Android,WiFi,Lucknow,FAILED,Daily Transaction Limit Exceeded,Yes,5483
UPI2025000097,2025-09-08,12:25:17,Google Pay,P2P,Peer Transfer,2382.09,HDFC Bank,Canara Bank,Android,5G,Ludhiana,FAILED,Bank Server Down,No,6858
UPI2025000098,2025-11-02,15:04:53,Paytm,P2P,Peer Transfer,493.77,Axis Bank,IndusInd Bank,iOS,4G,Chandigarh,SUCCESS,N/A,N/A,1377
UPI2025000099,2025-08-20,00:54:09,CRED,P2M,Food Delivery,485.26,Union Bank of India,Punjab National Bank,Android,4G,Ludhiana,SUCCESS,N/A,N/A,365
UPI2025000100,2025-11-03,10:20:01,Google Pay,P2M,Education Fee,41580.55,SBI,ICICI Bank,Android,4G,Chennai,SUCCESS,N/A,N/A,1260
UPI2025000101,2025-07-19,16:28:32,Google Pay,P2M,Utility Bill,39604.43,IndusInd Bank,SBI,Android,5G,Ludhiana,FAILED,Beneficiary Bank Server Down,Yes,3599
UPI2025000102,2025-09-24,07:45:58,PhonePe,P2M,Food Delivery,1081.22,HDFC Bank,Bank of Baroda,Android,5G,Bhopal,SUCCESS,N/A,N/A,2360
UPI2025000103,2025-05-28,23:33:18,PhonePe,P2P,Peer Transfer,122.03,IndusInd Bank,Kotak Mahindra Bank,Android,WiFi,Bhopal,SUCCESS,N/A,N/A,2099
UPI2025000104,2025-03-25,13:56:14,PhonePe,P2P,Peer Transfer,3975.43,Canara Bank,Kotak Mahindra Bank,Android,4G,Hyderabad,SUCCESS,N/A,N/A,1126
UPI2025000105,2025-03-01,17:30:04,Google Pay,P2P,Peer Transfer,280.43,HDFC Bank,HDFC Bank,Android,4G,Chandigarh,SUCCESS,N/A,N/A,2380
UPI2025000106,2025-08-16,22:35:21,Paytm,P2M,Travel,355.0,Kotak Mahindra Bank,Bank of Baroda,iOS,5G,Ahmedabad,SUCCESS,N/A,N/A,3031
UPI2025000107,2025-05-17,07:32:13,Google Pay,P2M,Medical/Pharmacy,181.79,Canara Bank,Axis Bank,iOS,4G,Hyderabad,SUCCESS,N/A,N/A,1557
UPI2025000108,2025-11-10,13:35:49,BHIM,P2M,Grocery,4026.44,IndusInd Bank,Yes Bank,Android,5G,Hyderabad,FAILED,Incorrect UPI PIN,No,5935
UPI2025000109,2025-12-24,12:00:11,BHIM,P2P,Peer Transfer,11618.31,IndusInd Bank,Yes Bank,Android,5G,Ludhiana,FAILED,Beneficiary Bank Server Down,Yes,1093
UPI2025000110,2025-06-26,12:23:19,Paytm,P2P,Peer Transfer,234.98,IndusInd Bank,IndusInd Bank,Android,4G,Delhi,SUCCESS,N/A,N/A,1750
UPI2025000111,2025-04-16,13:27:31,PhonePe,P2P,Peer Transfer,320.37,Kotak Mahindra Bank,Punjab National Bank,Android,4G,Bengaluru,SUCCESS,N/A,N/A,2129
UPI2025000112,2025-09-21,16:33:42,Google Pay,P2M,Grocery,99.12,Axis Bank,Kotak Mahindra Bank,Android,4G,Jalandhar,SUCCESS,N/A,N/A,954
UPI2025000113,2025-10-24,10:20:07,Google Pay,P2P,Peer Transfer,337.1,IDBI Bank,Kotak Mahindra Bank,Android,5G,Gurugram,SUCCESS,N/A,N/A,1322
UPI2025000114,2025-09-17,19:04:25,BHIM,P2P,Peer Transfer,96.74,SBI,Kotak Mahindra Bank,iOS,WiFi,Patiala,SUCCESS,N/A,N/A,1086
UPI2025000115,2025-10-03,16:18:07,PhonePe,P2M,Peer Transfer,2139.21,Bank of Baroda,ICICI Bank,Android,5G,Lucknow,FAILED,Network Connectivity Issue,Yes,3100
UPI2025000116,2025-08-17,12:05:25,Amazon Pay,P2P,Peer Transfer,438.05,IDBI Bank,Bank of Baroda,Android,4G,Bengaluru,SUCCESS,N/A,N/A,1992
UPI2025000117,2025-03-17,20:22:22,Paytm,P2P,Peer Transfer,405.04,Yes Bank,ICICI Bank,Android,4G,Chandigarh,SUCCESS,N/A,N/A,1552
UPI2025000118,2025-09-12,06:49:40,PhonePe,P2P,Peer Transfer,2160.11,IndusInd Bank,IndusInd Bank,iOS,5G,Kolkata,SUCCESS,N/A,N/A,200
UPI2025000119,2025-09-01,11:28:04,PhonePe,P2M,Peer Transfer,1635.97,Yes Bank,Punjab National Bank,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,4570
UPI2025000120,2025-01-15,05:53:18,Google Pay,P2M,Travel,62.51,HDFC Bank,IndusInd Bank,Android,5G,Delhi,SUCCESS,N/A,N/A,2807
UPI2025000121,2025-11-11,15:12:20,PhonePe,P2M,Entertainment,141.93,Union Bank of India,ICICI Bank,Android,WiFi,Kolkata,SUCCESS,N/A,N/A,1218
UPI2025000122,2025-02-02,14:11:02,Google Pay,P2P,Peer Transfer,4507.37,Canara Bank,Canara Bank,Android,4G,Ahmedabad,SUCCESS,N/A,N/A,826
UPI2025000123,2025-10-28,11:38:03,Paytm,P2P,Peer Transfer,396.69,Yes Bank,Bank of Baroda,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,3170
UPI2025000124,2025-11-27,17:58:38,Amazon Pay,P2M,Recharge/Bill Payment,221.51,Bank of Baroda,HDFC Bank,iOS,4G,Jaipur,FAILED,Invalid VPA / Beneficiary Not Found,Yes,5577
UPI2025000125,2025-08-06,12:50:21,BHIM,P2M,Rent,21024.35,Yes Bank,IDBI Bank,iOS,WiFi,Mumbai,SUCCESS,N/A,N/A,541
UPI2025000126,2025-06-14,14:01:23,Google Pay,P2M,Entertainment,59.87,Axis Bank,Bank of Baroda,Android,3G,Chandigarh,FAILED,Network Connectivity Issue,Yes,5625
UPI2025000127,2025-10-27,15:47:56,PhonePe,P2M,Peer Transfer,1782.93,Yes Bank,Bank of Baroda,Android,4G,Amritsar,FAILED,Daily Transaction Limit Exceeded,No,4597
UPI2025000128,2025-12-17,08:28:02,PhonePe,P2P,Peer Transfer,211.09,Yes Bank,IDBI Bank,Android,4G,Chennai,SUCCESS,N/A,N/A,1052
UPI2025000129,2025-04-03,11:51:50,PhonePe,P2M,Peer Transfer,485.04,Axis Bank,Bank of Baroda,iOS,5G,Ahmedabad,SUCCESS,N/A,N/A,2250
UPI2025000130,2025-07-15,15:10:52,Google Pay,P2M,Grocery,465.39,IndusInd Bank,ICICI Bank,Android,WiFi,Bhopal,SUCCESS,N/A,N/A,920
UPI2025000131,2025-10-04,19:54:07,Google Pay,P2P,Peer Transfer,387.05,ICICI Bank,Punjab National Bank,Android,WiFi,Mumbai,SUCCESS,N/A,N/A,335
UPI2025000132,2025-03-28,19:56:22,WhatsApp Pay,P2P,Peer Transfer,66.27,Kotak Mahindra Bank,SBI,Android,4G,Mumbai,SUCCESS,N/A,N/A,1843
UPI2025000133,2025-01-11,11:06:53,Paytm,P2P,Peer Transfer,85.64,Bank of Baroda,ICICI Bank,Android,WiFi,Chandigarh,SUCCESS,N/A,N/A,1025
UPI2025000134,2025-07-02,13:00:57,Google Pay,P2M,Education Fee,4954.82,Punjab National Bank,Axis Bank,iOS,5G,Patiala,FAILED,Incorrect UPI PIN,Yes,3730
UPI2025000135,2025-01-19,10:40:50,Paytm,P2M,Entertainment,134.77,HDFC Bank,HDFC Bank,Android,4G,Gurugram,SUCCESS,N/A,N/A,200
UPI2025000136,2025-10-07,08:27:00,PhonePe,P2P,Peer Transfer,42377.87,Axis Bank,IndusInd Bank,Android,4G,Lucknow,FAILED,Beneficiary Bank Server Down,Yes,2906
UPI2025000137,2025-07-17,15:24:55,PhonePe,P2M,Fuel,70.91,Yes Bank,Kotak Mahindra Bank,Android,4G,Mumbai,SUCCESS,N/A,N/A,1877
UPI2025000138,2025-10-12,17:06:49,PhonePe,P2P,Peer Transfer,4288.23,Bank of Baroda,ICICI Bank,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,1659
UPI2025000139,2025-09-23,13:44:30,Paytm,P2M,Entertainment,1236.45,ICICI Bank,HDFC Bank,Android,4G,Jalandhar,SUCCESS,N/A,N/A,2060
UPI2025000140,2025-05-03,21:32:25,CRED,P2P,Peer Transfer,4447.4,Union Bank of India,Canara Bank,Android,4G,Lucknow,SUCCESS,N/A,N/A,3667
UPI2025000141,2025-01-19,19:21:17,Google Pay,P2M,Rent,225.18,Bank of Baroda,Kotak Mahindra Bank,Android,WiFi,Kolkata,SUCCESS,N/A,N/A,1816
UPI2025000142,2025-07-12,17:23:59,Paytm,P2M,Food Delivery,123.78,Punjab National Bank,HDFC Bank,Android,3G,Amritsar,SUCCESS,N/A,N/A,3308
UPI2025000143,2025-05-05,07:20:42,Google Pay,P2M,Recharge/Bill Payment,10260.41,Canara Bank,IndusInd Bank,Android,4G,Delhi,SUCCESS,N/A,N/A,469
UPI2025000144,2025-12-21,12:27:17,Paytm,P2M,Travel,78.24,SBI,HDFC Bank,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,2829
UPI2025000145,2025-02-25,19:43:50,PhonePe,P2P,Peer Transfer,448.01,ICICI Bank,HDFC Bank,Android,4G,Delhi,SUCCESS,N/A,N/A,2547
UPI2025000146,2025-09-21,13:23:23,PhonePe,P2P,Peer Transfer,3064.5,HDFC Bank,IndusInd Bank,Android,4G,Hyderabad,SUCCESS,N/A,N/A,1029
UPI2025000147,2025-02-14,02:11:31,PhonePe,P2P,Peer Transfer,4195.66,Union Bank of India,HDFC Bank,Android,4G,Ahmedabad,SUCCESS,N/A,N/A,1557
UPI2025000148,2025-07-10,09:08:54,Google Pay,P2P,Peer Transfer,1174.63,ICICI Bank,IDBI Bank,Android,5G,Kolkata,SUCCESS,N/A,N/A,919
UPI2025000149,2025-10-03,06:34:18,Amazon Pay,P2M,Rent,362.82,ICICI Bank,IDBI Bank,Android,WiFi,Gurugram,SUCCESS,N/A,N/A,1103
UPI2025000150,2025-03-20,18:15:50,PhonePe,P2M,Entertainment,98.98,Bank of Baroda,Union Bank of India,Android,5G,Mumbai,FAILED,Bank Server Down,No,2010
UPI2025000151,2025-07-05,14:49:26,BHIM,P2M,Utility Bill,236.38,HDFC Bank,ICICI Bank,Android,5G,Gurugram,SUCCESS,N/A,N/A,4001
UPI2025000152,2025-12-07,19:35:40,PhonePe,P2P,Peer Transfer,18.87,ICICI Bank,Kotak Mahindra Bank,iOS,WiFi,Gurugram,FAILED,Insufficient Balance,Yes,4758
